OFFENSE_CATEGORY_ID,GEO_LON,GEO_LAT,NEIGHBORHOOD_ID
robbery,-104.8887503,39.7398543,east-colfax
auto-theft,-105.031119,39.7645397,west-highland
larceny,-104.9590553,39.7403303,city-park
public-disorder,-104.825985,39.7977991,montbello
drug-alcohol,-105.0153483,39.730808,lincoln-park
aggravated-assault,-105.0141663,39.7115257,valverde
all-other-crimes,-104.8925358,39.7416886,east-colfax
auto-theft,-105.0124669,39.7489203,auraria
theft-from-motor-vehicle,-104.765823,39.7867357,gateway-green-valley-ranch
other-crimes-against-persons,-105.0343383,39.7222261,barnum
theft-from-motor-vehicle,-105.0005355,39.7568562,union-station
theft-from-motor-vehicle,-104.9778195,39.7514126,five-points
all-other-crimes,-104.9801924,39.7412547,north-capitol-hill
aggravated-assault,-104.9348971,39.6779587,university-hills
white-collar-crime,-105.0254164,39.7115222,barnum
aggravated-assault,-105.0247243,39.7029788,athmar-park
auto-theft,-105.1076448,39.6348878,marston
sexual-assault,,,five-points
burglary,-104.9754327,39.7343456,capitol-hill
public-disorder,-105.0271387,39.74341,west-colfax
all-other-crimes,-104.897946,39.7696879,stapleton
larceny,-104.9839812,39.7371699,capitol-hill
larceny,-104.9738003,39.7315492,capitol-hill
all-other-crimes,-104.7350305,39.7855788,gateway-green-valley-ranch
white-collar-crime,-104.9778195,39.7514126,five-points
larceny,-104.9191202,39.7688307,northeast-park-hill
larceny,-104.9890252,39.6680954,overland
larceny,-104.9169925,39.7380677,montclair
theft-from-motor-vehicle,-105.0372793,39.7608882,west-highland
all-other-crimes,-104.8920629,39.7404508,east-colfax
all-other-crimes,-104.8887503,39.7398543,east-colfax
all-other-crimes,-104.9968055,39.746304,cbd
public-disorder,-104.8248283,39.7978035,montbello
drug-alcohol,-105.014521,39.7121504,valverde
all-other-crimes,-105.0040963,39.7286335,lincoln-park
other-crimes-against-persons,-104.9879392,39.7556271,five-points
all-other-crimes,-105.0532033,39.6822866,harvey-park
public-disorder,-105.0326489,39.6572324,harvey-park-south
all-other-crimes,-104.9256673,39.6674844,university-hills
drug-alcohol,-104.9782023,39.786482,globeville
all-other-crimes,-104.968959,39.7496956,city-park-west
public-disorder,-104.9867628,39.7399438,capitol-hill
larceny,-104.9926055,39.7453197,cbd
all-other-crimes,-104.9917415,39.6986845,baker
drug-alcohol,-104.9807994,39.7399561,capitol-hill
aggravated-assault,-105.0418082,39.7357237,west-colfax
public-disorder,-104.9601396,39.7366704,cheesman-park
sexual-assault,,,west-colfax
public-disorder,-104.9841298,39.7595005,five-points
other-crimes-against-persons,-104.9883656,39.7546983,five-points
burglary,-104.9973892,39.7457355,cbd
theft-from-motor-vehicle,-105.0364102,39.7024215,westwood
drug-alcohol,-105.0241305,39.7266024,sun-valley
theft-from-motor-vehicle,-104.9936753,39.7858001,globeville
larceny,-104.6738123,39.8492917,dia
public-disorder,-104.932485,39.7302178,hale
robbery,-104.9361678,39.7732127,northeast-park-hill
public-disorder,-104.993173,39.7278128,lincoln-park
theft-from-motor-vehicle,-104.9151654,39.7733957,northeast-park-hill
larceny,-105.0316852,39.7410234,west-colfax
drug-alcohol,-105.0023421,39.7548928,union-station
larceny,-104.8312063,39.7843333,montbello
auto-theft,-104.9395262,39.7838939,northeast-park-hill
all-other-crimes,-104.912812,39.6784599,goldsmith
other-crimes-against-persons,-104.9879187,39.687813,overland
aggravated-assault,-104.9886405,39.7545595,five-points
larceny,-104.9756626,39.7397411,capitol-hill
all-other-crimes,-104.6738123,39.8492917,dia
drug-alcohol,-104.9886405,39.7545595,five-points
drug-alcohol,-104.9801594,39.7783236,globeville
drug-alcohol,-105.0009167,39.775756,sunnyside
theft-from-motor-vehicle,-104.8951969,39.7464955,east-colfax
public-disorder,-104.8900733,39.7394275,east-colfax
all-other-crimes,-104.9873914,39.7400591,civic-center
all-other-crimes,-104.9897144,39.7555634,five-points
drug-alcohol,-104.9798198,39.7392243,capitol-hill
other-crimes-against-persons,-104.9442909,39.7385375,congress-park
auto-theft,-104.9912342,39.7505133,cbd
white-collar-crime,-104.7497921,39.7764552,gateway-green-valley-ranch
public-disorder,-104.9827246,39.7537458,five-points
larceny,-105.0218977,39.6775787,college-view-south-platte
public-disorder,-105.0005355,39.7568562,union-station
larceny,-104.9613549,39.7460428,city-park-west
larceny,-105.0251519,39.7380049,sun-valley
all-other-crimes,-104.9914581,39.7461273,cbd
larceny,-105.0283115,39.7382235,west-colfax
larceny,-104.9169342,39.6535444,hampden
larceny,-104.9730773,39.7108876,washington-park
all-other-crimes,-104.8096964,39.7858096,gateway-green-valley-ranch
aggravated-assault,-105.0248348,39.7212986,valverde
public-disorder,-105.0138904,39.7646921,highland
drug-alcohol,-105.0247788,39.710147,athmar-park
larceny,-105.0218977,39.6775787,college-view-south-platte
drug-alcohol,-105.0250741,39.6733391,harvey-park
theft-from-motor-vehicle,-105.0800954,39.6651972,bear-valley
public-disorder,-105.0313262,39.6962931,mar-lee
public-disorder,-105.0912451,39.6329486,marston
public-disorder,-104.9938909,39.7544587,five-points
auto-theft,-104.9008605,39.6384601,hampden-south
public-disorder,-105.022374,39.707834,athmar-park
other-crimes-against-persons,-104.8619644,39.6584037,kennedy
auto-theft,-104.9788386,39.730586,capitol-hill
all-other-crimes,-104.9935737,39.7397729,civic-center
drug-alcohol,-105.0319059,39.7367169,west-colfax
all-other-crimes,-104.9783446,39.7391656,capitol-hill
all-other-crimes,-104.9999509,39.7530543,union-station
larceny,-104.9926055,39.7453197,cbd
theft-from-motor-vehicle,-104.9726939,39.7283295,country-club
larceny,-105.0218977,39.6775787,college-view-south-platte
drug-alcohol,-105.0411077,39.7128995,barnum-west
drug-alcohol,-105.0180787,39.711174,athmar-park
drug-alcohol,-105.0372832,39.7112373,westwood
drug-alcohol,-104.9891116,39.7523818,five-points
burglary,-104.9546888,39.679477,university-park
larceny,-104.9871379,39.6983735,washington-park-west
public-disorder,-104.7817434,39.8089386,dia
drug-alcohol,-104.8878451,39.7388586,east-colfax
drug-alcohol,-104.9081599,39.740154,montclair
theft-from-motor-vehicle,-104.9774012,39.7307169,capitol-hill
other-crimes-against-persons,-104.9935737,39.7397729,civic-center
auto-theft,-104.9037986,39.7499738,south-park-hill
larceny,-104.9940663,39.7069881,baker
all-other-crimes,-105.0009167,39.775756,sunnyside
all-other-crimes,-105.0263741,39.7028757,westwood
aggravated-assault,-104.9875967,39.7504041,five-points
burglary,-105.0519155,39.7270793,villa-park
robbery,-104.9940663,39.7069881,baker
white-collar-crime,-104.8483577,39.7835016,montbello
auto-theft,-104.9897577,39.7461941,cbd
all-other-crimes,-105.0298724,39.7493919,sloan-lake
all-other-crimes,-104.9704494,39.7496557,city-park-west
drug-alcohol,-104.9886405,39.7545595,five-points
burglary,-104.9526731,39.6705151,university-park
public-disorder,-104.8956087,39.6256754,hampden-south
theft-from-motor-vehicle,-104.9255382,39.7049685,washington-virginia-vale
larceny,-104.6740448,39.851926,dia
larceny,-105.0218977,39.6775787,college-view-south-platte
aggravated-assault,-104.8112714,39.7906532,montbello
other-crimes-against-persons,-104.9014912,39.7273739,lowry-field
drug-alcohol,-104.9886405,39.7545595,five-points
aggravated-assault,-104.9938909,39.7544587,five-points
all-other-crimes,-104.9938909,39.7544587,five-points
aggravated-assault,-105.0160411,39.6829658,ruby-hill
public-disorder,-104.9362261,39.7177393,hilltop
burglary,-104.9552258,39.7622665,clayton
aggravated-assault,-104.7381742,39.7896814,gateway-green-valley-ranch
auto-theft,-104.8499436,39.657775,kennedy
theft-from-motor-vehicle,-105.0178278,39.7885424,chaffee-park
drug-alcohol,-104.8905506,39.7401547,east-colfax
public-disorder,-104.8997966,39.6378836,hampden-south
all-other-crimes,-105.0253234,39.6874373,mar-lee
theft-from-motor-vehicle,-104.9914581,39.7461273,cbd
theft-from-motor-vehicle,-105.015762,39.7167209,valverde
burglary,-104.9670802,39.6768104,university
public-disorder,-105.0078915,39.7091524,athmar-park
drug-alcohol,-105.0319059,39.7367169,west-colfax
public-disorder,-104.8048839,39.7848919,gateway-green-valley-ranch
burglary,-104.9778032,39.788465,globeville
larceny,-104.9014113,39.744235,east-colfax
other-crimes-against-persons,-104.940609,39.7262404,hale
drug-alcohol,-104.9751035,39.7398594,capitol-hill
larceny,-104.897946,39.7696879,stapleton
all-other-crimes,-104.9887991,39.7635344,five-points
drug-alcohol,-104.8867036,39.7388636,east-colfax
all-other-crimes,-104.973271,39.7187043,speer
larceny,-105.0477269,39.7878045,regis
