id,host_name,host_response_time,host_is_superhost,neighbourhood,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,number_of_reviews,last_review,review_scores_rating
177,Joe,within an hour,t,Virginia Village,Virginia Village,80246,39.69585,-104.92582,Guesthouse,Entire home/apt,2,1,1,1,,$56.00 ,39,3/24/19,94
360,Jennifer & Giovanni,within an hour,t,Highland,Highland,80211,39.76703,-105.00256,Guesthouse,Entire home/apt,5,1,2,2,,$140.00 ,48,3/29/19,100
590,Jill,within an hour,t,North Park Hill,North Park Hill,80207,39.75361,-104.91237,House,Private room,3,1,1,1,,$61.00 ,565,3/27/19,97
592,Jill,within an hour,t,North Park Hill,North Park Hill,80207,39.75438,-104.91156,House,Private room,2,1,1,1,,$42.00 ,147,3/22/19,97
686,Alexandra,within an hour,f,North Capitol Hill,North Capitol Hill,80203,39.74503,-104.97756,House,Private room,2,2,1,1,,$70.00 ,236,4/16/19,95
1940,Joanne,within an hour,t,Baker,Baker,80223,39.71981,-104.99649,Guesthouse,Entire home/apt,2,1,0,1,,$95.00 ,34,4/22/19,99
2086,Katy,N/A,f,Hale,Hale,80220,39.73996,-104.93173,Apartment,Entire home/apt,2,1,1,1,,$76.00 ,12,10/21/18,96
21745,Alexandra,within an hour,f,North Capitol Hill,North Capitol Hill,80203,39.74513,-104.97903,Bed and breakfast,Private room,3,2,1,2,,$65.00 ,226,11/21/18,94
31503,Rick,within an hour,t,West Highland,West Highland,80211,39.76216,-105.02866,Guest suite,Entire home/apt,2,1,1,1,,$110.00 ,55,3/18/19,97
39405,Jennifer & Giovanni,within an hour,t,Highland,Highland,80211,39.76588,-105.00545,Cottage,Entire home/apt,2,1,1,2,300,$111.00 ,549,4/12/19,98
56185,Kate,within a few hours,f,North Park Hill,North Park Hill,80207,39.75322,-104.93335,House,Entire home/apt,8,3,4,4,2000,$300.00 ,64,9/2/18,98
59631,Julie,within an hour,t,Five Points,Five Points,80205,39.74947,-104.97611,Townhouse,Entire home/apt,4,2.5,2,2,,$179.00 ,139,9/3/18,96
74125,Joe,within a few hours,t,Capitol Hill,Capitol Hill,80203,39.73276,-104.98035,Apartment,Entire home/apt,3,1,1,2,1000,$120.00 ,100,4/12/19,94
81540,Jess,within an hour,t,Overland,Overland,80110,39.66787,-104.98969,Guesthouse,Entire home/apt,2,1,1,1,,$75.00 ,147,3/30/19,98
98008,James,within a day,t,Five Points,Five Points,80218,39.74927,-104.97482,House,Private room,2,1,1,1,,$70.00 ,203,2/28/19,99
98014,James,within a day,t,Five Points,Five Points,80205,39.74865,-104.97522,House,Private room,1,,1,1,,$60.00 ,199,3/31/19,98
142683,Nancy,within an hour,t,City Park,City Park,80206,39.74145,-104.94845,House,Entire home/apt,4,1.5,2,2,,$125.00 ,276,4/24/19,94
172196,Michael,within a few hours,f,Washington Park,Washington Park,80209,39.69688,-104.96232,House,Entire home/apt,10,4,5,8,,$411.00 ,24,4/21/19,99
177942,Tyler,within an hour,t,LoDo,Union Station,80202,39.7548,-105.00517,Loft,Entire home/apt,2,1,1,1,,$195.00 ,150,4/23/19,99
184529,Lonna,within a few hours,f,West Highland,West Highland,80212,39.76716,-105.0435,Guest suite,Private room,1,1,1,1,,$35.00 ,6,1/3/16,97
192430,Kate,within a day,f,South Park Hill,South Park Hill,80220,39.7416,-104.93613,Condominium,Private room,1,1,1,1,,$32.00 ,114,1/25/19,94
217996,William,N/A,f,Highland,Highland,80211,39.75706,-105.01022,Condominium,Private room,4,1.5,1,2,900,$66.00 ,11,8/6/17,100
236207,Dave,N/A,f,LoDo,Union Station,80202,39.75475,-105.00533,Loft,Entire home/apt,4,1.5,2,2,,$235.00 ,58,9/14/18,99
283162,Lee,within a few hours,f,LoDo,Union Station,80202,39.75035,-104.99624,Apartment,Entire home/apt,4,,2,3,,$300.00 ,1,7/3/18,80
286732,Ellen,within an hour,t,Five Points,Five Points,80205,39.75289,-104.982,House,Private room,2,1,1,1,1,$70.00 ,151,4/20/19,96
364585,Nicholas,within a few hours,f,Washington Park West,Washington Park West,80209,39.69859,-104.9813,Townhouse,Entire home/apt,7,2.5,3,3,,$250.00 ,129,2/21/19,96
370209,Maura,within a day,t,Baker,Baker,80223,39.71816,-104.9962,Townhouse,Private room,4,1,1,2,,$70.00 ,61,2/28/19,99
440769,Jimbo,within an hour,t,Clayton,Clayton,80205,39.7667,-104.95498,Bungalow,Private room,2,1,1,1,,$40.00 ,570,4/24/19,97
